Ethnicity,Language & Origin,Primary homeland,"Subgroups, tribes & castes",Majority (plurality) religion and sect
Greeks,Indo-European → Greek,"Greece, Cyprus","Greek Cypriots, Pontic Greeks, Cappadocian Greeks, Sarakatsani, Urums, Griko, Macedonian Greeks, Anatolian Greeks, and also sizeable populations of Arvanites, Aromanians and Megleno-Romanians who identify as ethnic Greeks, along with a significant diaspora in Albania (including Northern Epirotes), Ukraine, Georgia, the United States, the United Kingdom, Germany, Australia, and Canada",Christianity → Eastern Orthodoxy
Guan,Niger–Congo → Kwa → Guang[note 2],Ghana (Brong-Ahafo and Volta Regions),"Gonja, Kyode, Cherepon, Efutu, Anyanga, Larteh, Chumburung, Krache, Anum-Boso",Christianity
Guaraní,Tupian → Guarani,"Paraguay, Misiones (Argentina), Bolivia","Chiriguanos, along with Mestizos such as Paraguayans",Christianity → Catholicism
Gujarati,Indo-European → Indo-Aryan → Gujarati,Gujarat (India),"Koli, Bharwad, Khoja, Patidar, Sunni Bohra, Lohana, Vagri, Kharva, Charan, Baria, Momna, Ghanchi, Shenva, Bhambi Khalpa, Zarabes, Bhoi, Luso-Indians, Gujarati Americans","Hinduism, Islam"
Gujjar / Gurjar,Indo-European → Indo-Aryan → Gujari,"Primarily Pakistan & India, also Afghanistan at smaller numbers","Khatana, Solanki, Parihar, Tanwar, Parmar, chandel, Chauhan, Bhadana, Bhatti, Kohli, Tomar, Panwar, Pawar, Bainsla, Bagri, Hans, etc.","Islam, Hinduism"
Gumuz,Nilo-Saharan → Gumuz,Benishangul-Gumuz Region (Ethiopia),,Traditional African religion
Gurage,Afroasiatic → Semitic → Ethiopic → Gurage[note 2],Guragia (Ethiopia),"Kistane, Zay, Inor, Mesqan, Sebat Bet (including Chaha and Muher)",Christianity
Gurma,Niger–Congo → Gur → Gourmanché,"Gurmaland (Burkina Faso, Ghana)","Ntcham, Bimoba",Islam
Gurungs,Sino-Tibetan → Gurung,"Nepal, Sikkim (India), West Bengal (India)","Ghale, Gurung","Hinduism, Buddhism"
Gurunsi,Niger–Congo → Gur → Gurunsi[note 2],"Burkina Faso, Ghana, Togo","Lukpa, Kabye, Tem, Lamba, Delo, Bago-Kusuntu, Chala, Lyélé, Nuna, Kalamsé, Pana, Kassena, Winye, Deg, Puguli, Paasaal, Sisaala, Chakali, Siti, Tamprusi, Vagla",Traditional African religions
Ha,Niger–Congo → Bantu → Ha,Kigoma Region (Tanzania),,Animism
Hadiya,Afroasiatic → Cushitic → Hadiyya,Hadiya (Ethiopia),,Islam
Han Chinese,Sino-Tibetan → Chinese,"China proper, Singapore, Kokang","Subei, Cantonese (including Taishanese, Hongkongers, Tankas, Chuanqing and Macanese), Hui, Fujianese (including Fuzhounese, Hoklo, Hui'an maidens, Putianese, and Teochew), Gaoshan Han, Gan, Hakka (including Ngái), Hebei, Hunanese, Jianghuai, Shandong, Sichuanese, Wu (including Shanghainese, Ningbonese, and Wenzhou), Han Taiwanese, along with significant populations in the United States, Malaysia (including Peranakan), Singapore, Thailand, Indonesia, Myanmar, Canada, the Philippines (including Sangleys), Peru, Australia, Vietnam, Japan, Russia, France (including Chinois), the United Kingdom, South Africa, Italy, Germany, Korea, Spain, India, Laos, Brazil, the Netherlands, Panama, Venezuela and New Zealand","Chinese folk religion, Buddhism, Taoism, no religion (see also Religion in China and Religion in Taiwan)"
Hangaza,Niger–Congo → Bantu → Hangaza,"Kagera Region, Tanzania",,
Hani,Sino-Tibetan → Loloish → Hani,Yunnan (China),,Animism
Harari,Afroasiatic → Semitic → Ethiopic → Harari,Hararia (Ethiopia),,Islam → Sunni Islam
Hausa,Afroasiatic → Chadic → Hausa,"Hausaland (Niger, Nigeria)",,Islam → Sunni Islam
Hawaiians,Austronesian → Polynesian → Hawaiian[note 35],Hawaii (United States),,Christianity
Haya,Niger–Congo → Bantu → Haya,"Kagera Region, Tanzania",,"Christianity, Ruhanga"
Hazaras,Indo-European → Iranian → Persian → Hazaragi,Hazarajat (Afghanistan),"Aimaq Hazara, Hazara Australians",Islam → Twelver Shi’ism
Hehe,Niger–Congo → Bantu → Hehe,"Iringa Region, Tanzania",,
Herero,Niger–Congo → Bantu → Herero,"Hereroland (Namibia), Angola","OvaHimba, Ovambanderu",Christianity
Hmong,Hmong–Mien → Hmongic[note 2],Guizhou (China)[note 36],"A-Hmao, Gha-Mu, Xong, Pa-Hng, Hmong Americans",Hmong folk religion
Huli,Trans–New Guinea → Engan  → Huli,Southern Highlands Province (Papua New Guinea),,Christianity
Hungarians,Uralic → Ugric → Hungarian,"Hungary, Székely Land (Romania), Felvidék (Slovakia)","Jasz, Palóc, along with significant populations in Romania (including Székelys and Csángós ), Slovakia, Serbia, Ukraine, Croatia, Slovenia, Germany, the United States, and Canada",Christianity → Catholicism
Hutu,Niger–Congo → Bantu → Great Lakes → Rwanda-Rundi[note 37],"Rwanda, Burundi, Kivu (Democratic Republic of the Congo)",,Christianity
Iban,Austronesian → Malayic → Iban,Sarawak (Malaysia),Mualang,Christianity
Ibanag,Austronesian → Philippine → Cordilleran → Ibanag,"Philippines (Isabela, Cagayan)",,Christianity → Catholicism
Ibibio,Niger–Congo → Cross River → Ibibio-Efik → Ibibio,Akwa Ibom State (Nigeria),"Eket, Aro",Christianity
Icelanders,Indo-European → Germanic → Nordic → Icelandic,Iceland,,Christianity → Protestantism → Lutheranism
Idoma,Niger–Congo → Idomoid → Idoma,Benue State (Nigeria),"Agatu, Alago, Yala",Christianity
Igbo,Niger–Congo → Igbo,Igboland (Nigeria),"Anioma, Aro, Edda, Ekpeye, Etche, Ezaa, Ika, Ikwerre, Ikwo, Isu, Izzi, Mbaise, Mgbo, Ngwa, Nri-Igbo, Ogba, Ohafia, Ohuhu, Onitsha-Ado, Ukwuani, Waawa",Christianity
Igede,Niger–Congo → Idomoid → Igede,Benue State (Nigeria),,Christianity
Igorot,Austronesian → Philippine → Cordilleran[note 2],Cordillera Administrative Region (Philippines),"Balangao, Bontoc, Ibaloi, Ifugao (including Kalanguya), Isnag, Kalinga, Kankanaey",Anitism
Ijaw,Niger–Congo → Ijaw[note 2],"Nigeria (Rivers, Bayelsa, and Delta States)","Bille, Engenni, Ibani, Kalabari, Kula, Nkoro, Nkoroo, Obolo",Christianity
Ili Turks,Turkic → Karluk → Ili Turki,"Ili Kazakh Autonomous Prefecture (China), Kazakhstan",,Islam → Sunni Islam
Ilocano,Austronesian → Philippine → Cordilleran → Ilocano,Ilocos Region (Philippines),,Christianity → Catholicism
Indo-Caribbean,"Indo-European → Germanic → English → English Creole, Indo-European → Romance → Spanish → Caribbean Spanish, Indo-European → Romance → French → French Creole, Indo-European → Germanic → Dutch → Surinamese Dutch, Indo-European → Romance → Portuguese → Papiamento, Indo-European → Indo-Aryan → Hindustani → Caribbean Hindustani, Dravidian → Tamil",Caribbean,"Indo-Barbadian, Indo-Dominican, Indo-Grenadians, Indo-Guadeloupeans, Indo-Haitians, Indo-Jamaicans, Indo-Martiniquais, Indo-Kittitians and Indo-Nevisians, Indo-Saint Lucian, Indo-Trinidadian and Tobagonian, Indo-Vincentian, Indo-Belizeans, Indo-Guyanese, Indo-Surinamese","Hinduism, Christianity, Islam, Sikhism, Jainism, Buddhism, Zoroastrianism, Baháʼí"
Ingush,Northeast Caucasian → Nakh → Ingush,Ingushetia (Russia),,Islam → Sunni Islam
Inuit,Eskimo–Aleut → Inuit[note 2],"Greenland (Denmark), Canada (Nunavut, Nunatsiavut, Nunavik, NunatuKavut), Alaska (United States)","Greenlandics (including Kalaallit, Tunumiit, Inughuit and Greenlandic Danes), Iñupiat, Inuktitut, Inuvialuit",Christianity
Iranun,Austronesian → Philippine → Iranun,Mindanao (Philippines),,Islam → Sunni Islam
Iraqw,Afroasiatic → Cushitic → Iraqw,Tanzania,,Christianity
Irish,Indo-European → Celtic → Irish[note 22],"Ireland (Republic of Ireland, United Kingdom)[note 38]","Irish Travellers, Ulster Irish, along with significant populations in the United States, Australia, Canada, Argentina, Mexico and New Zealand",Christianity → Catholicism
Iroquois,Iroquoian[note 39],"United States, Canada","Mohawk, Oneida, Onondaga, Cayuga, Seneca, Tuscarora",Longhouse Religion
Isan,Kra–Dai → Tai → Lao → Isan,Isan (Thailand),,Buddhism → Theravada Buddhism
Isoko,Niger–Congo → Edoid → Isoko,Isoko region (Nigeria),,Christianity
Istro-Romanians,Indo-European → Romance → Istro-Romanian,Istria (Croatia),,Christianity → Catholicism
Italians,Indo-European → Romance → Italian,"Italy, Ticino (Switzerland)","Sicilians, Camminanti, Waldensians, Lazians, Marchigianos, Tuscans, Umbrians, Emilian, Romagnol (including Sanmarinese), Trentinis, Ligurians (including Monégasque), Lombards, Piedmontese, Apulians, Calabrians, Neapolitans (including Abruzzans, Molisans, Basilicatans, and Campanians), Venetians along with significant populations in Argentina, Brazil, the United States, Venezuela, Canada, France, Peru, Uruguay, Australia, Germany, Chile and the United Kingdom",Christianity → Catholicism
Itawes,Austronesian → Philippine → Cordilleran → Itawis,Cagayan Valley (Philippines),,Christianity → Catholicism
Izhorians,Uralic → Finnic → Ingrian,Ingria (Russia),,Christianity → Eastern Orthodoxy
Japanese,Japonic → Japanese,Japan,"Kantō, Kansai, Hokkaido, Tōhoku, Hōnichi, Satsugū, Chūgoku, Echigo, Tōkai, Shinshuu, Hokuriku, Hachijō, along with significant populations in Brazil, the United States and the Philippines.","Shinto, Buddhism[note 40]"
Jarai,Austronesian → Chamic → Jarai,"Central Highlands, Vietnam",,Animism
Javanese,Austronesian → Javanese,Java (Indonesia),"Cirebonese, Osing, Tenggerese, Boyanese, Samin, Banyumasan, along with significant populations in Malaysia, Suriname, China, and Saudi Arabia",Islam → Sunni Islam
Jews,Afroasiatic → Semitic → Hebrew[note 41],Israel[note 42],"Ashkenazim, Sephardim (including Moroccan Jews, Algerian Jews, Tunisian Jews, and Toshavim), Mizrahim (including Bukharim, Juhurim, Syrian Jews, Teimanim, Persian Jews, and Kaifeng Jews), Beta Israel, Italkim, Romaniotes, Crimean Karaites, Krymchaks, Gruznim, Bene Israel, Cochin, Paradesi, Lishanid Noshan, Israelis, along with significant populations in the United States, France, Canada, the United Kingdom, Argentina, Russia, Germany, and Australia",Judaism
Jingpo,Sino-Tibetan → Sal → Jingpho,"Kachin State (Myanmar), Yunnan (China) Northeast India",,Animism
Jita,,Mara Region (Tanzania),,
Jola,Niger–Congo → West Atlantic → Senegambian → Jola[note 2],Jolaland (Senegal),"Banjaal, Bayot, Fogni, Gusilay, Karon, Kasa, Kuwaataay, Mlomp",Traditional African religions
Jukun,Niger–Congo → Jukun Takum[note 43],Wukari (Nigeria),Wannu,Traditional African religions
Kadazan-Dusun,Austronesian → Malayo-Polynesian → Dusunic[note 2],Sabah (Malaysia),"Kadazan, Dusun, Dumpas, Ida'an, Kwijau, Lotud, Mangka'ak, Maragang, Minokok, Orang Sungai, Rumanau, Rungus, Tambanuo",Christianity
Kaguru,Niger–Congo → Bantu → Kagulu,Ukaguru Mountains (Tanzania),,
Kalanga,Niger–Congo → Bantu → Shona → Kalanga,"Zimbabwe, Botswana",Nambya,Christianity
Kalenjin,Nilo-Saharan → Nilotic → Kalenjin[note 2],Rift Valley Province (Kenya),"Keiyo, Tugen, Marakwet, Nandi, Kipsigis, Sabaot, Pökoot, Okiek, Terik",Christianity
Kalinago,"Indo-European → Germanic → English,[note 44] Arawakan → Ta-Arawakan → Kalinago → Garifuna, Vincentian Creole",Lesser Antilles,Garifuna (including Garifuna Americans),Christianity → Catholicism
Kamba,Niger–Congo → Bantu → Kamba,Ukambani (Kenya),,Christianity
Kanaks,Austronesian → Kanak[note 2],Kanakia (France),"Haveke, Ajië, Arhâ, Xârâgurè, Haeke",Christianity → Catholicism
Kannadigas,Dravidian → Kannada,Karnataka (India),Vokkaliga,Hinduism
Kanuri,Nilo-Saharan → Saharan → Kanuri,"Kanuriland (Nigeria, Niger, Chad, Cameroon)","Kanembu, Yerwa Kanuri",Islam
Kapampangans,Austronesian → Philippine → Kapampangan,Pampanga (Philippines),,Christianity → Catholicism
Kapsiki,Afroasiatic → Chadic → Kapsiki,"Mandara Mountains (Nigeria, Cameroon)",,Islam
Karachays,Turkic → Kipchak → Karachay,Karachay-Cherkessia (Russia),,Islam → Sunni Islam
Karakalpaks,Turkic → Kipchak → Karakalpak,Karakalpakstan (Uzbekistan),,Islam → Sunni Islam
Karbi,Sino-Tibetan → Kuki-Chin–Naga → Karbi,Karbi Anglong district (India),Amri,Hinduism
Karen,Sino-Tibetan → Karenic[note 2],"Karen State, Kayah State, Pa'O Self-Administered Zone (Myanmar), Thailand","S'gaw Karen, Pwo Karen, Karenni (including Kayan), Pa'O",Buddhism → Theravada Buddhism
Kashmiris,Indo-European → Indo-Aryan → Dardic → Kashmiri,"Kashmir (India, Pakistan)","Kashmiri Pandits, Kashmiris in Punjab","Islam → Sunni Islam, Hinduism, Sikhism"
Kashubians,Indo-European → Slavic → Kashubian,Kashubia (Poland),,Christianity → Catholicism
Kazakhs,Turkic → Kipchak → Kazakh,Kazakhstan,"Significant populations in China, and Russia",Islam → Sunni Islam
Kerewe,Niger–Congo → Bantu → Kerewe,Ukerewe Island (Tanzania),,
Khakas,Turkic → Siberian Turkic → Khakas,Khakassia (Russia),,"Christianity → Eastern Orthodoxy → Russian Orthodoxy, Shamanism → Tengrism"
Khas,Indo-European → Indo-Aryan → Nepali,"Nepal, India (Uttarakhand, Sikkim, Assam, West Bengal)","Brahmin, Chhetri, Thakuri, Rana, Vaisya, Kami, Damai, Sarki, Sunar, Gandarbha",Hinduism
Khmer,Austroasiatic → Khmer,"Cambodia, Mekong Delta, Isan","Northern Khmer people, Khmer Krom and Significant populations in the United States",Buddhism → Theravada Buddhism
Khonds,Dravidian → Kui,Kandhamal (India),,Hinduism
Khorasani Turks,Turkic → Oghuz → Khorasani Turkic,Khorasan (Iran),,Islam → Shia Islam
Kiga,Niger–Congo → Bantu → Nkore-Kiga → Kiga,"Uganda, Rwanda",,"Christianity → Catholicism, Christianity → Protestantism"
Kikuyu,Niger–Congo → Bantu → Kikuyu,Central Province (Kenya),,Christianity
Kilba,Afroasiatic → Chadic → Huba,Hong (Nigeria),,Christianity
Kinga,Niger–Congo → Bantu → Kinga,"Kipengere Range (Njombe Region, Tanzania)",,"Christianity, Traditional African religion"
Kirantis,Sino-Tibetan → Kiranti[note 2],Eastern Region (Nepal),"Limbu, Sunuwar, Yakkha (including Athpare), Rai (including Kulung, Bantawa, and Bahing)",Kirat Mundhum
Kissi,Niger–Congo → West Atlantic → Mel → Kissi,"Guinea, Sierra Leone",,Christianity
Kofyar,Afroasiatic → Chadic → Kofyar,Plateau State (Nigeria),,Traditional African religions
Komi,Uralic → Permic → Komi,"Russia (Komi Republic, Permyakia)","Komi-Zyrians, Komi-Permyaks, Izhma Komi",Christianity → Eastern Orthodoxy
Kongo,Niger–Congo → Bantu → Kongo,"Kongoland (Democratic Republic of the Congo, Republic of the Congo, Angola)","Lari, Vili, Yombe, Suundi, Dondo, Hangala, Kugni, Manyanga, Beembe",Christianity
Konjo,Niger–Congo → Bantu → Konjo,"Rwenzori Mountains (Democratic Republic of the Congo, Uganda)",Nande,Christianity
Konkani,Indo-European → Indo-Aryan → Konkani,Konkan (India),Luso-Indians,Hinduism
Konso,Afroasiatic → Cushitic → Konso,Konso (Ethiopia),,Traditional African religions
Koreans,Korean,"Korea (North Korea, South Korea)","Jeju Islanders, along with significant populations in the United States, China, Russia, Japan, Canada, Australia, Vietnam, and the Philippines",Shamanism[note 24]
Kpelle,Niger–Congo → Mande → Kpelle,"Liberia, Guinea",,Traditional African religions
Kposo,Niger–Congo → Kwa → Ghana–Togo Mountain → Kposo,"Plateaux (Togo), Ghana",,Christianity → Catholicism
Kru,Niger–Congo → Kru[note 2],Liberia (Grand Kru and Maryland Counties),"Aizi, Bété, Bakwé, Grebo, Krahn (including Sapo), Kuwaa",Christianity
Kumandins,Turkic → Siberian Turkic → Northern Altai → Kumandy,"Russia (Altai Krai, Altai Republic)",,Christianity → Eastern Orthodoxy → Russian Orthodoxy
Kumyks,Turkic → Kipchak → Kumyk,Dagestan (Russia),,Islam → Sunni Islam
Kunama,Nilo-Saharan → Kunama,"Eritrea, Ethiopia",,Christianity → Oriental Orthodoxy
Kurds,Indo-European → Iranian → Kurdish[note 2],"Kurdistan (Turkey, Iran, Iraq, Syria)","Bajalan, Kurmanjis, Sorans, Zazas, Feylis, Iranian Laks, Yazidis, Shabak, along with significant populations in France and Germany",Islam → Sunni Islam
Kuria,Niger–Congo → Bantu → Kuria,"Kenya, Tanzania",,"Traditional African religions, Christianity"
Kurukh,Dravidian → Kurukh,Chota Nagpur Plateau (India),Kisan,"Sarnaism, Christianity, Hinduism, Animism"
Kuteb,Niger–Congo → Jukunoid → Kuteb,Taraba State (Nigeria),,Christianity
Kwaya,Niger–Congo → Bantu → Kwaya,Mara Region (Tanzania),,
Kwere,Niger–Congo → Bantu → Kwere,"Bagamoyo District (Pwani Region, Tanzania)",,
Kyrgyz,Turkic → Kipchak → Kyrgyz,Kyrgyzstan,,Islam → Sunni Islam → Hanafi
Laks,Northeast Caucasian → Lak,Lakia (Russia),,Islam → Sunni Islam
Lamaholot,Austronesian → Flores–Lembata → Lamaholot,Solor (Indonesia),,Christianity → Catholicism
Lampungs,Austronesian → Lampung,Lampung (Indonesia),,Islam
Lao,Kra–Dai → Tai → Lao,Laos,,Buddhism → Theravada Buddhism
Latvians,Indo-European → Baltic → Latvian,Latvia,"Latgalians, Kursenieki, Selonians",Christianity → Protestantism → Lutheranism
Laz,Kartvelian → Laz[note 45],"Lazistan (Turkey, Georgia)","Turkish Laz, Georgian Laz",Islam → Sunni Islam
Lega,Niger–Congo → Bantu → Lega,Democratic Republic of the Congo,,Traditional African religions
Lezgins,Northeast Caucasian → Lezgic → Lezgian,"Lezgistan (Russia, Azerbaijan)","Aghuls, Archin, Budukhs, Jeks, Kryts, Rutuls, Tabasarans, Tsakhurs",Islam → Sunni Islam
Li,Kra–Dai → Hlai[note 2],Hainan (China),,Islam → Sunni Islam
Limba,Niger–Congo → Limba,Sierra Leone (Bombali and Koinadugu Districts),,Christianity
Lisu,Sino-Tibetan → Loloish → Lisu,"China, Myanmar",Lipo,Christianity → Protestantism → Lisu Christianity
Lithuanians,Indo-European → Baltic → Lithuanian,Lithuania,"Samogitians, Aukstaitians, Lietuvninkai, along with significant populations in the United States, Canada, Brazil, Poland and the United Kingdom",Christianity → Catholicism
Livonians,Uralic → Finnic → Livonian,"Latvia, Estonia",,Christianity → Protestantism → Lutheranism
Luba,Niger–Congo → Bantu → Luban[note 2],Lubaland (Democratic Republic of the Congo),"Luba-Kasai, Luba-Katanga, Hemba (including Bangubangu), Songe, Lulua",Christianity
Luhya,Niger–Congo → Bantu → Luhya,Western Province (Kenya),"Bukusu, Idakho, Isukha, Kabras, Khayo, Kisa, Marachi, Maragoli, Marama, Nyole, Samia, Tachoni, Tiriki, Tsotso, Wanga,",Christianity
Luo,Nilo-Saharan → Nilotic → Luo → Dholuo,Kenya,,Christianity
Lurs,Indo-European → Iranian → Luri,"Iran (Lorestan, Kohgiluyeh and Boyer-Ahmad, Khuzestan, Bushehr, and Chaharmahal and Bakhtiari Provinces)","Bakhtiari, Iranian Laks",Islam → Shia Islam
Luxembourgers,Indo-European → Germanic → German → Luxembourgish,"Luxembourg, Arelerland (Belgium)",Significant populations in Brazil and the United States,Christianity → Catholicism
Maasai,Nilo-Saharan → Nilotic → Maasai,"Maasailand (Tanzania, Kenya)","Samburu, Arusha, Kwavi",Traditional African religions
Macedonians,Indo-European → Slavic → Macedonian,North Macedonia,"Torbesh, Mijaks, along with significant populations in Australia, Germany, Italy, Switzerland and Greece",Christianity → Eastern Orthodoxy
Madi,Nilo-Saharan → Central Sudanic → Ma'di,"Democratic Republic of the Congo, South Sudan, Uganda",,Christianity
Madurese,Austronesian → Madurese,Madura (Indonesia)[note 46],Boyanese,Islam → Sunni Islam → Shafi'i
Mafa,Afroasiatic → Chadic → Mafa,Cameroon,,Christianity
Magahi,Indo-European → Indo-Aryan → Bihari → Magahi,Magadha (India),,Hinduism
Magars,Sino-Tibetan → Magar[note 47],Nepal,"Ale, Gharti, Chantayal, Saru, Pun","Hinduism, Buddhism"
Maguindanao,Austronesian → Philippine → Maguindanao,Maguindanao (Philippines),,Islam
Maithils,Indo-European → Indo-Aryan → Bihari → Maithili,"Mithila (India, Nepal)","Karan Kayastha, Brahmin, Chhetri, Vaisya",Hinduism
Makassarese,Austronesian → South Sulawesi → Makassarese,South Sulawesi (Indonesia),,Islam → Sunni Islam
Makonde,Niger–Congo → Bantu → Makonde,"Tanzania, Mueda Plateau (Mozambique)",Machinga,Islam
Makua,Niger–Congo → Bantu → Makhuwa,Mozambique,"Lomwe, Chuwabu, Moniga, Koti, Nathembo",Traditional African religions
Malagasy,Austronesian → Malagasy,"Madagascar, Comoros, Mayotte, Réunion, Mauritius","Merina, Sihanaka, Betsileo, Zafimaniry, Antaifasy, Antemoro, Antaisaka, Antambahoaka, Tandroy, Antankarana, Antanosy, Bara, Betsimisaraka, Bezanozano, Mahafaly, Makoa, Mikea, Sakalava, Tanala, Tsimihety, Vezo",Christianity
Malayali,Dravidian → Malayalam,Kerala (India),"Ambalavasi, Dheevara, Nair, Paravar, Saint Thomas Christians (including Knanayas), Mappilas, Ezhava, along with significant populations in the United Arab Emirates, Saudi Arabia, Oman, Qatar, Kuwait and Bahrain",Hinduism
Malays,Austronesian → Malayic → Malay,"Malay world (Malaysia, Singapore, Indonesia, Brunei)","Bruneians, Kedahans, Pattani, Pahang, Musi, Palembangese, Pontianaks, Terengganuarians, Kelantanese, Perakians, Berau, Proto-Malay (including Orang Kuala, Jakun, Orang Rimba, Orang Seletar, and Temuan), Lubu, Palembangnese, Cape Malays, Cocos Malays, Bangka Malays",Islam → Sunni Islam
Maldivians,Indo-European → Indo-Aryan → Maldivian,"Maldives, Minicoy",Mahls,Islam → Sunni Islam
Maltese,Afroasiatic → Semitic → Arabic → Maltese,Malta,Gozitans,Christianity → Catholicism
Mambila,Niger–Congo → Mambila,"Mambilla Plateau (Nigeria, Cameroon)",Somyev,Traditional African religions
Manchus,Tungusic → Southern Tungusic → Manchu[note 48],Manchuria,,Shamanism
Mandaeans,Afroasiatic → Semitic → Aramaic → Mandaic,Southern Mesopotamia,"Iraq, Iran",Mandaeism
Mandarese,Austronesian → South Sulawesi → Mandar,West Sulawesi (Indonesia),,Islam
Mandinka,Niger–Congo → Mande → Manding[note 2],"Mali, The Gambia, Guinea, Senegal",Bolon,Islam
Manggarai,Austronesian → Sumba–Flores → Manggarai,Manggarai (Indonesia),,Christianity
Manjak,Niger–Congo → West Atlantic → Senegambian → Manjak,"Guinea-Bissau, Senegal",,Traditional African religions
Māori,Austronesian → Polynesian → Māori[note 49],New Zealand,Cook Islanders,Christianity
Mapuche,Mapudungun[note 50],"Araucanía (Chile, Argentina)","Huilliche, along with Mestizos such as Chileans",Christianity
Maranao,Austronesian → Philippine → Maranao,Lanao (Philippines),,Islam
Marathi,Indo-European → Indo-Aryan → Marathi,Maharashtra (India),"Mahar, Maratha, Kunbi, Dhangar, Bhoi",Hinduism
Maris,Uralic → Mari,Mari El (Russia),"Meadow Mari, Hill Mari, Northwestern Mari, Eastern Mari, Mountain Mari",Christianity → Eastern Orthodoxy
Maronites,Afroasiatic → Semitic → Western Aramaic[note 51],Lebanon,"Significant populations in Syria, Cyprus and Israel along with the greater Lebanese diaspora",Christianity → Maronite Catholicism
Masa,Afroasiatic → Chadic → Masana,"Cameroon, Chad",,"Christianity, Islam[1]"
Masalit,Nilo-Saharan → Masalit,"Sudan, Chad",,Islam → Sunni Islam
Maya,Mayan[note 2],"Guatemala, Belize, Mexico (Yucatán, Campeche, Quintana Roo, Tabasco, Chiapas)","Maya, Achi, Chuj, Chʼortiʼ, Itza, Kʼicheʼ, Qʼeqchiʼ, Xinca, Tektitek, Huastecan, Mopan, Lacandon, Chontal, Akatek, Jakaltek, Qʼanjobʼal, Tzeltal, Mochoʼ, Tojolab'al, Mam, Ixil, Tzotzil, Poqomam, Yucatecan Maya, Motozintlecos, Awakatek, Kaqchikel, Sakapultek, Sipakapense, Uspantek, Ch'ol, Tzʼutujil, along with Mestizos such as Guatemalans (including Hispanic Belizeans) and Mexicans",Christianity → Catholicism
Mazahua,Oto-Manguean → Oto-Pamean → Mazahua,State of Mexico (Mexico),,Christianity → Catholicism
Mazandaranis,Indo-European → Iranian → Western Iranian → Mazanderani,"Mazandaran, Iran",,Islam → Shia Islam
Mazatec,Oto-Manguean → Popolocan → Mazatecan[note 2],Oaxaca (Mexico),Ayautla,Christianity → Catholicism
Mbaka,Niger–Congo → Ubangian → Mbaka,"Central African Republic, Democratic Republic of the Congo",,Christianity → Catholicism
Megleno-Romanians,Indo-European → Romance → Megleno-Romanian,Almopia (Greece),,"Christianity → Eastern Orthodoxy, Islam → Sunni Islam"
Mehri,Afroasiatic → Semitic → Mehri,"Mahra (Yemen, Oman)",Soqotri,Islam
Meitei,Sino-Tibetan → Kuki-Chin–Naga → Meitei,Manipur (India),Loi,Hinduism → Vaishnavism
Melanau,Austronesian → Malayo-Polynesian → Melanau,Sarawak (Malaysia),,Islam
Mende,Niger–Congo → Mande → Mende,Sierra Leone (Southern and Eastern Provinces),,Islam
Mien,Hmong–Mien → Mienic[note 2],"China (Hunan, Guizhou), Vietnam","Iu Mien, Kim Mun, Dzao Min, Biao Min, Bunu, Lakkia, Biao Mon",Yao folk religion
Mijikenda,Niger–Congo → Bantu → Mijikenda,Coast Province (Kenya),"Chonyi, Giriama, Digo, Segeju",Christianity
Minahasan,Austronesian → Philippine → Minahasan[note 2],Minahasa Peninsula (Indonesia),"Tonsawang, Tontemboan, Tondano, Tombulu, Tonsea",Christianity → Protestantism
Minangkabau,Austronesian → Malayic → Malay → Minangkabau,Minangkabau Highlands (Indonesia),Aneuk Jamee,Islam → Sunni Islam
Mising,Sino-Tibetan → Tani → Mising,"India (Assam, Arunachal Pradesh)",,Donyi-Polo
Miskito,Misumalpan → Miskito,"Mosquito Coast (Nicaragua, Honduras)",,Christianity → Protestantism → Moravian Church
Mixtec,Oto-Manguean → Mixtecan → Mixtec,La Mixteca (Mexico),"Triqui, Cuicatecs, Amoltepec",Christianity → Catholicism
Miꞌkmaq,Algic → Algonquian → Miꞌkmaq[note 23],Miꞌkmaꞌki (Canada),,Christianity → Catholicism
Moldovans,Indo-European → Romance → Romanian → Moldavian,Moldova,"Significant populations in Romania, Ukraine, Russia, and the United States",Christianity → Eastern Orthodoxy
Mon,Austroasiatic → Mon,Mon State (Myanmar),,Buddhism → Theravada Buddhism
Mongo,Niger–Congo → Bantu → Mongo,"Democratic Republic of the Congo (Équateur, Tshuapa, Mongala, Nord-Ubangi, Sud-Ubangi)","Bolia, Ntomba, Ngando, Iyaelima, Mbole, Mpama, Nkutu, Sengele, Hendo, Dengese, Tetela",Christianity
